user,lang,title,timestamp,pageid,revid,parentid,sizediff
192.197.82.153,en,Bill Siksay,2006-06-02T02:29:40Z,765210,56430111,56429980,2
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-06-02T14:50:29Z,3827549,56503104,56502678,80
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:43:39Z,4663442,56558018,56526541,-203
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:45:05Z,4663442,56558261,56558018,-213
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:46:04Z,4663442,56558414,56558261,-178
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:46:28Z,4663442,56558475,56558414,-3
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:47:00Z,4663442,56558554,56558475,4
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:48:33Z,4663442,56558820,56558616,2044
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:51:56Z,4663442,56559369,56558820,-164
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-02T20:53:12Z,4663442,56559550,56559369,-131
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-06-05T15:29:13Z,3827549,57009352,57009253,10
192.197.82.153,en,Joe Volpe,2006-06-05T15:35:27Z,638205,57010328,56750374,-1042
192.197.82.153,en,Franco-Ontarian,2006-06-05T23:04:49Z,218667,57079649,57074028,86
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-06T17:30:41Z,4663442,57209633,57209399,120
192.197.82.153,en,"Charles Powlett, 3rd Duke of Bolton",2006-06-07T13:20:30Z,3076834,57350341,51969460,17
192.197.82.153,en,"Charles Powlett, 3rd Duke of Bolton",2006-06-07T16:49:28Z,3076834,57377657,57350387,-1
192.197.82.153,en,Mahmoud Ahmadinejad,2006-06-09T18:20:02Z,7907317,57741522,57723237,772
192.197.82.153,en,Mahmoud Ahmadinejad,2006-06-09T18:21:24Z,7907317,57741753,57741522,0
192.197.82.153,en,The Long Ships,2006-06-09T20:56:28Z,1338606,57766279,56620043,11
192.197.82.153,en,Peace Tower,2006-06-12T14:13:34Z,1371609,58208838,57622101,29
192.197.82.153,en,Pierre Poilievre,2006-06-14T18:08:13Z,1406548,58616212,58603624,78
192.197.82.153,en,Pierre Poilievre,2006-06-14T18:09:13Z,1406548,58616405,58616212,-64
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-06-14T20:41:25Z,4663442,58641562,58641062,-73
192.197.82.153,en,Peace Tower,2006-06-14T23:51:47Z,1371609,58672503,58208838,681
192.197.82.153,en,Mike Wallace (politician),2006-06-15T19:14:54Z,3423964,58809631,50392529,-13
192.197.82.153,en,Mike Wallace (politician),2006-06-15T19:15:35Z,3423964,58809758,58809631,1
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-06-16T14:18:23Z,3827549,58944704,58825738,325
192.197.82.153,en,Ethan Hawke,2006-06-19T20:28:52Z,164120,59499324,57293010,4
192.197.82.153,en,Ethan Hawke,2006-06-19T20:30:23Z,164120,59499607,59499324,112
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-06-21T18:51:03Z,3827549,59856766,59823079,-141
192.197.82.153,en,List of colonial governors in 1641,2006-06-21T19:30:38Z,2147398,59863569,37020829,12
192.197.82.153,en,Celano,2006-06-22T12:29:32Z,4025722,59986270,59656803,67
192.197.82.153,en,Celano,2006-06-22T12:34:02Z,4025722,59986710,59986270,33
192.197.82.153,en,Celano,2006-06-22T12:55:01Z,4025722,59988856,59986710,3
192.197.82.153,en,Celano,2006-06-22T12:56:01Z,4025722,59988987,59988856,-6
192.197.82.153,en,Golden eagle,2006-06-22T16:30:42Z,88295,60018212,57929063,124
192.197.82.153,en,Inky Mark,2006-06-22T16:49:36Z,1026459,60021246,59804411,10
192.197.82.153,en,Warren Kinsella,2006-06-22T18:56:44Z,594419,60040971,59828896,-60
192.197.82.153,en,Warren Kinsella,2006-06-22T18:58:27Z,594419,60041260,60040971,-1590
192.197.82.153,en,Warren Kinsella,2006-06-22T19:08:28Z,594419,60042907,60041260,-5
192.197.82.153,en,Dean Del Mastro,2006-06-23T15:14:34Z,3837598,60181119,52228489,-19
192.197.82.153,en,Talk:2006 FIFA World Cup,2006-06-23T17:02:33Z,247816,60197254,60197137,133
192.197.82.153,en,Talk:2006 FIFA World Cup,2006-06-23T17:06:33Z,247816,60197908,60197907,335
192.197.82.153,en,Graham Poll,2006-06-23T18:36:02Z,4335033,60211720,60211000,-310
192.197.82.153,en,Claude Duplain,2006-06-23T19:40:48Z,1106874,60221215,38137808,52
192.197.82.153,en,Claude Duplain,2006-06-23T19:41:37Z,1106874,60221351,60221215,4
192.197.82.153,en,Karl Bélanger,2006-06-26T14:29:41Z,4676298,60661388,60588526,-76
192.197.82.153,en,Gurmant Grewal,2006-07-04T21:01:06Z,1910160,62079213,55742907,79
192.197.82.153,en,Sheila Copps,2006-07-05T20:57:54Z,256559,62250320,60872203,1
192.197.82.153,en,Montreal Canadiens,2006-07-07T20:03:55Z,42966,62611915,62550848,-53
192.197.82.153,en,Pierre Poilievre,2006-07-10T14:08:07Z,1406548,63046106,60056933,1090
192.197.82.153,en,Pierre Poilievre,2006-07-10T14:19:52Z,1406548,63047595,63046106,446
192.197.82.153,en,Pierre Poilievre,2006-07-10T14:21:37Z,1406548,63047856,63047595,-146
192.197.82.153,en,Canada men's national soccer team,2006-07-12T15:17:55Z,723688,63421715,63226151,233
192.197.82.153,en,Canada men's national soccer team,2006-07-12T15:21:50Z,723688,63422306,63421715,31
192.197.82.153,en,Canada men's national soccer team,2006-07-12T15:23:18Z,723688,63422547,63422306,1
192.197.82.153,en,Canada men's national soccer team,2006-07-12T15:25:12Z,723688,63422855,63422547,-11
192.197.82.153,en,Canada men's national soccer team,2006-07-12T15:26:03Z,723688,63422978,63422855,4
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-12T20:39:58Z,3827549,63475183,63475125,-1
192.197.82.153,en,Harold Albrecht,2006-07-14T15:09:29Z,3848859,63792232,59047485,-2
192.197.82.153,en,Karl Bélanger,2006-07-14T19:26:18Z,4676298,63833647,60661388,5
192.197.82.153,en,Rodney MacDonald,2006-07-17T16:36:46Z,4041347,64308289,63992169,-1319
192.197.82.153,en,Gerald Keddy,2006-07-17T16:40:46Z,600339,64308935,63993258,-499
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:25:31Z,3827549,64315979,64315893,0
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:27:45Z,3827549,64316341,64316162,19
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:29:37Z,3827549,64316653,64316612,1
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:37:16Z,3827549,64317795,64316742,0
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:38:17Z,3827549,64317954,64317795,29
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:39:30Z,3827549,64318161,64317954,26
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-17T17:42:56Z,3827549,64318670,64318499,0
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-07-18T13:14:19Z,4663442,64461019,64458715,40
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-21T20:22:28Z,3827549,65092244,65092206,0
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-07-21T20:22:58Z,3827549,65092340,65092244,0
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-07-21T20:25:18Z,4663442,65092779,65092597,103
192.197.82.153,en,Jim Karygiannis,2006-07-21T20:46:44Z,1137222,65096273,65096197,-11
192.197.82.153,en,"Talk:Endorsements for the Liberal Party of Canada leadership election, 2006",2006-08-01T14:37:15Z,4742163,67045038,66925606,285
192.197.82.153,en,"Talk:Endorsements for the Liberal Party of Canada leadership election, 2006",2006-08-01T14:39:40Z,4742163,67045370,67045038,-15265
192.197.82.153,en,"Talk:Endorsements for the Liberal Party of Canada leadership election, 2006",2006-08-02T21:10:33Z,4742163,67313751,67304931,187
192.197.82.153,en,"Talk:List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-08-02T21:28:55Z,6234528,67317360,0,7463
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-08-02T21:32:58Z,6230558,67318132,67284783,0
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-08-02T21:33:40Z,6230558,67318273,67318132,0
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-08-02T21:34:20Z,6230558,67318408,67318273,0
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-08-03T20:34:22Z,6230558,67506373,67319981,7993
192.197.82.153,en,Shawn Graham,2006-08-10T16:03:56Z,416276,68836245,64884276,0
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-08-10T20:41:24Z,4663442,68886504,68886456,-6
192.197.82.153,en,Acadia University,2006-08-15T18:11:41Z,2236,69851073,69515798,-68
192.197.82.153,en,Talk:Acadia University,2006-08-15T18:13:21Z,420599,69851540,60320415,116
192.197.82.153,en,Rod Zimmer,2006-08-18T14:45:16Z,2363740,70429758,70278272,51
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-09-13T14:59:16Z,3827549,75514899,75514708,-939
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-09-13T15:16:44Z,3827549,75517737,75514899,1235
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-09-13T15:27:49Z,3827549,75519529,75517737,1249
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-09-13T15:32:20Z,6230558,75520290,75498128,17
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-09-13T15:33:47Z,6230558,75520559,75520489,26
192.197.82.153,en,Marie Charette-Poulin,2006-09-19T16:09:12Z,2040683,76603211,75332462,-2
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-09-20T17:41:47Z,6230558,76820729,76803638,-38
192.197.82.153,en,American Airlines Flight 191,2006-09-27T23:39:44Z,246673,78203176,76980744,-3
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-09-29T14:15:09Z,6230558,78503685,78420042,-17
192.197.82.153,en,Antonio Lamer,2006-10-12T18:02:49Z,530079,81050268,80348513,-71
192.197.82.153,en,Antonio Lamer,2006-10-12T18:03:19Z,530079,81050370,81050268,3
192.197.82.153,en,Major-General George R Pearkes Building,2006-10-22T14:08:34Z,916547,83002090,80464173,-4
192.197.82.153,en,List of largest enclosed shopping malls in Canada,2006-10-22T14:17:16Z,6419428,83003237,80441865,-71
192.197.82.153,en,List of largest enclosed shopping malls in Canada,2006-10-22T15:05:13Z,6419428,83009901,83003671,-72
192.197.82.153,en,Joey Smallwood,2006-10-23T16:20:21Z,282970,83229030,82562537,0
192.197.82.153,en,Battle of the Bogside,2006-10-23T21:41:39Z,2426303,83289907,83243337,1
192.197.82.153,en,List of buildings in Ottawa,2006-10-24T05:05:57Z,908930,83365597,70976183,33
192.197.82.153,en,Repentigny (electoral district),2006-10-24T16:50:27Z,1778120,83452568,83414480,21
192.197.82.153,en,Repentigny (electoral district),2006-10-24T17:01:16Z,1778120,83454524,83452568,133
192.197.82.153,en,Repentigny (electoral district),2006-10-24T17:02:45Z,1778120,83454755,83454524,4
192.197.82.153,en,London North Centre,2006-10-24T17:12:08Z,1685640,83456339,83431365,288
192.197.82.153,en,London North Centre,2006-10-24T17:13:19Z,1685640,83456517,83456339,-1
192.197.82.153,en,London North Centre,2006-10-24T17:13:45Z,1685640,83456609,83456517,4
192.197.82.153,en,"List of ex officio delegates to the Liberal Party of Canada leadership election, 2006",2006-10-26T19:26:38Z,6230558,83899496,83898416,-90
192.197.82.153,en,Marián Šťastný,2006-10-26T20:26:18Z,4254256,83910866,81713001,424
192.197.82.153,en,London North Centre,2006-10-27T14:03:01Z,1685640,84047714,84043485,146
192.197.82.153,en,Ayaan Hirsi Ali,2006-10-30T22:56:56Z,870045,84717711,83022514,0
192.197.82.153,en,Faudel,2006-11-09T14:22:17Z,1148124,86715257,76412975,-7
192.197.82.153,en,Windows Vista,2006-11-10T20:21:13Z,2289648,87002383,86985602,13
192.197.82.153,en,Michael Larson,2006-11-20T19:13:35Z,25158406,89062178,87473194,159
192.197.82.153,en,RAS syndrome,2006-11-21T19:32:57Z,629192,89285773,88636690,110
192.197.82.153,en,Thomas Mulcair,2006-11-22T19:54:47Z,7428705,89507830,81805647,-8
