ip,timestamp,title
130.63.176.54,2014-02-27T17:04:31Z,Olive
130.63.176.54,2014-03-20T18:41:10Z,Arvanitika
130.63.176.90,2014-04-10T22:47:30Z,Hypoxemia
130.63.176.92,2014-03-07T22:28:02Z,Swatch
130.63.176.106,2014-04-16T16:24:34Z,List of modern-day Muslim scholars of Islam
130.63.176.113,2014-05-26T13:31:43Z,Osgoode Hall Law School
130.63.176.156,2014-01-22T17:18:45Z,Biathlon at the 2014 Winter Olympics – Qualification
130.63.176.197,2014-01-06T14:11:42Z,Amrullah Saleh
130.63.176.198,2014-05-20T17:42:39Z,2006 Lebanon War
130.63.176.228,2014-05-20T16:15:33Z,James Cameron
130.63.182.208,2014-04-05T03:57:41Z,Snakes of Australia
130.63.182.208,2014-04-05T04:00:36Z,Snakes of Australia
130.63.182.218,2014-03-18T15:53:55Z,Zaria
130.63.183.56,2014-03-10T17:13:24Z,William Lyon Mackenzie King
130.63.183.56,2014-03-10T17:17:51Z,Continuous journey regulation
130.63.183.131,2014-04-21T16:16:37Z,Ministry of Labour (Ontario)
130.63.184.19,2014-01-31T19:12:20Z,Talk:Senate of Canada
130.63.184.19,2014-01-31T19:13:58Z,Senate of Canada
130.63.184.36,2014-01-16T01:26:35Z,Frozen (2013 film)
130.63.184.51,2014-07-14T02:07:24Z,"Alpine, New Jersey"
130.63.184.51,2014-07-14T02:08:20Z,"Alpine, New Jersey"
130.63.184.51,2014-07-14T02:09:06Z,"Alpine, New Jersey"
130.63.184.60,2014-03-14T16:36:21Z,Monte Kwinter
130.63.184.60,2014-03-14T16:38:43Z,Monte Kwinter
130.63.184.60,2014-03-14T16:39:02Z,Monte Kwinter
130.63.184.60,2014-03-14T17:39:00Z,Hugo Oehler
130.63.184.80,2014-03-21T22:53:21Z,Voice of Russia
130.63.184.80,2014-03-21T22:54:06Z,Voice of Russia
130.63.184.80,2014-03-21T22:54:37Z,Voice of Russia
130.63.184.93,2014-01-17T22:42:25Z,Yad Hana
130.63.184.93,2014-01-17T22:44:10Z,Yad Hana
130.63.184.153,2014-03-07T18:12:12Z,Bernard Lord
130.63.184.153,2014-03-07T18:12:48Z,Ontario Power Generation
130.63.184.153,2014-03-07T18:13:59Z,Hydro One
130.63.184.153,2014-03-07T18:19:11Z,Sandra Pupatello
130.63.184.153,2014-03-07T18:20:03Z,Sandra Pupatello
130.63.184.161,2014-03-14T13:45:51Z,Baron Altrincham
130.63.185.165,2014-02-07T15:10:49Z,The Tonight Show Band
130.63.185.199,2014-01-10T19:11:17Z,Party standings in the Canadian Senate
130.63.185.223,2014-03-21T14:09:48Z,Marc Nadon
130.63.185.223,2014-03-21T14:13:01Z,Marc Nadon
130.63.185.223,2014-03-21T14:13:26Z,Marc Nadon
130.63.185.223,2014-03-21T14:16:59Z,Marc Nadon
130.63.185.223,2014-03-21T14:18:06Z,Marc Nadon
130.63.185.223,2014-03-21T14:20:41Z,Marc Nadon
130.63.185.223,2014-03-21T14:21:30Z,Marc Nadon
130.63.185.223,2014-03-21T14:22:11Z,Marc Nadon
130.63.185.223,2014-03-21T14:23:08Z,Template:FederalCourtsOfCanada
130.63.185.223,2014-03-21T14:24:27Z,Template:FederalCourtsOfCanada
130.63.206.119,2014-03-04T00:42:14Z,National Citizens Coalition
130.63.207.20,2014-02-10T00:14:41Z,Ontario
130.63.207.20,2014-02-10T00:16:30Z,Ontario
130.63.207.38,2014-07-10T21:38:53Z,Jungle
130.63.207.95,2014-04-11T17:37:09Z,2013 Canadian federal budget
130.63.210.197,2014-05-16T17:45:49Z,The Blood Brothers (band)
130.63.210.222,2014-01-15T18:03:28Z,Ray Jayawardhana
130.63.210.222,2014-01-15T18:04:32Z,Ray Jayawardhana
130.63.210.222,2014-01-15T18:10:58Z,Ray Jayawardhana
130.63.210.239,2014-07-07T20:40:52Z,Dwight Anderson (Canadian football)
130.63.210.239,2014-07-07T20:41:14Z,Dwight Anderson (Canadian football)
130.63.211.229,2014-01-14T19:05:11Z,RoboCop
130.63.213.165,2014-03-24T03:37:13Z,Nicotine
130.63.217.225,2014-03-07T14:48:20Z,Ratchet (Transformers)
130.63.218.112,2014-06-26T23:53:36Z,Omar Khadr
130.63.218.159,2014-06-03T15:39:10Z,Hebrew Wikipedia
130.63.224.76,2014-04-09T01:40:16Z,Carcross Desert
130.63.224.80,2014-01-14T21:36:35Z,Ema (Shinto)
130.63.225.7,2014-01-17T14:57:19Z,Thermophile
130.63.227.68,2014-03-29T07:16:20Z,Donaldson Scholarship
130.63.227.68,2014-03-29T07:17:40Z,Donaldson Scholarship
130.63.230.169,2014-01-27T20:43:29Z,December 27
130.63.232.18,2014-01-24T21:53:28Z,Personal development
130.63.234.136,2014-03-25T18:49:19Z,History of Taganrog
130.63.234.136,2014-03-25T18:55:49Z,Talk:History of Taganrog
130.63.234.136,2014-03-25T19:08:14Z,History of Taganrog
130.63.234.136,2014-03-25T19:09:54Z,History of Taganrog
130.63.234.169,2014-03-06T02:53:28Z,CUSIP
130.63.243.246,2014-03-17T15:11:43Z,York University
130.63.243.246,2014-03-17T16:10:15Z,York University
130.63.243.246,2014-03-19T14:44:43Z,York University
130.63.244.180,2014-06-03T15:05:09Z,Schulich School of Business
130.63.249.116,2014-06-03T14:06:39Z,Hebrew Wikipedia
130.63.249.250,2014-06-12T21:18:26Z,Telangana
130.63.250.41,2014-03-15T22:57:03Z,Sampha
130.63.251.203,2014-01-20T19:58:15Z,List of the political families of Pakistan
130.63.251.203,2014-01-20T19:59:41Z,List of the political families of Pakistan
130.63.254.92,2014-04-06T22:07:35Z,Loyal (Chris Brown song)
130.63.255.241,2014-03-18T15:16:36Z,Stage Fright (2014 film)
199.212.65.2,2014-01-13T22:56:05Z,List of Pokémon: Diamond and Pearl: Battle Dimension episodes
199.212.65.12,2014-02-20T19:47:17Z,Ice hockey at the 2010 Winter Olympics – Women's tournament
199.212.65.13,2014-02-05T02:10:27Z,York Stadium
199.212.65.13,2014-02-05T02:12:05Z,York Stadium
199.212.65.14,2014-04-24T22:59:37Z,Football at the Mediterranean Games
199.212.65.16,2014-01-31T01:38:09Z,List of awards and nominations received by Justin Bieber
199.212.65.16,2014-02-15T15:51:09Z,Win Win (film)
199.212.65.24,2014-06-01T05:28:47Z,Peter Mutharika
199.212.65.24,2014-06-01T05:30:29Z,Joyce Banda
199.212.65.24,2014-06-01T05:31:42Z,Bingu wa Mutharika
199.212.65.24,2014-06-01T05:33:23Z,Bakili Muluzi
199.212.65.24,2014-06-01T05:34:24Z,Hastings Banda
199.212.65.25,2014-03-12T13:50:34Z,Talk:Hamad bin Thamer Al Thani
199.212.65.36,2014-02-24T05:36:29Z,Portal:Current events/2014 February 23
199.212.65.58,2014-05-01T05:55:42Z,Colombia national football team
199.212.65.61,2014-02-21T18:53:26Z,Ice hockey at the 2014 Winter Olympics – Men's tournament
199.212.65.61,2014-03-04T14:05:32Z,Vesparax
199.212.65.70,2014-06-26T18:01:41Z,The Rev
199.212.65.82,2014-02-25T08:07:40Z,Coca-Cola Orange
199.212.65.82,2014-03-01T09:52:53Z,Mykola Azarov
199.212.65.82,2014-03-05T11:38:35Z,Portal:Current events/2014 March 5
199.212.65.82,2014-03-06T16:37:16Z,Tane Ikai
199.212.65.82,2014-03-12T22:26:35Z,Corn steep liquor
199.212.65.82,2014-03-14T21:01:05Z,Siaka Stevens
199.212.65.82,2014-03-16T17:53:01Z,"Crimean status referendum, 2014"
199.212.65.82,2014-03-24T07:35:45Z,"Maldivian parliamentary election, 2005"
199.212.65.82,2014-03-24T23:25:52Z,Crimean People's Republic
199.212.65.83,2014-02-02T02:40:34Z,"Toronto municipal election, 2014"
199.212.65.83,2014-02-17T21:47:23Z,Ethiopian Airlines Flight 702
199.212.65.84,2014-01-26T03:55:44Z,List of career achievements by LeBron James
199.212.65.89,2014-03-17T20:41:54Z,Demographics of Djibouti
199.212.65.89,2014-03-17T20:47:57Z,Demographics of Djibouti
199.212.65.101,2014-03-17T01:55:09Z,Ram Jam
199.212.65.102,2014-03-06T10:20:20Z,Stacy Martin
199.212.65.116,2014-03-31T07:50:05Z,List of Ebola outbreaks
199.212.65.129,2014-01-13T10:09:45Z,Alexandra Bastedo
199.212.65.129,2014-01-16T06:11:55Z,Juan Gelman
199.212.65.129,2014-02-06T22:39:00Z,The Walking Dead (season 4)
199.212.65.146,2014-02-08T20:54:56Z,Shtetl
199.212.65.147,2014-03-03T17:04:25Z,Lupita Nyong'o
199.212.65.167,2014-02-19T14:21:05Z,Curling at the 2014 Winter Olympics – Men's tournament
199.212.65.167,2014-02-19T20:33:00Z,William Cross
199.212.65.173,2014-03-08T22:28:15Z,Shuriken School
199.212.65.195,2014-04-13T04:07:56Z,Poaching
199.212.65.200,2014-04-11T18:22:57Z,Horseshit
199.212.65.203,2014-02-16T18:44:02Z,British Academy Film Awards
199.212.65.203,2014-02-16T19:17:36Z,Ice hockey at the 2014 Winter Olympics – Men's tournament
199.212.65.209,2014-06-08T07:43:41Z,2014
199.212.65.209,2014-06-08T07:49:16Z,Ibrahim Mahlab
199.212.65.209,2014-06-09T04:53:51Z,Portal:Current events/2014 June 8
199.212.65.209,2014-06-14T05:16:49Z,Australia national association football team
199.212.65.221,2014-02-03T02:04:54Z,Styx (band)
199.212.65.225,2014-02-11T03:06:24Z,Schulich School of Business
199.212.65.237,2014-01-29T03:23:58Z,Sleeping Beauty (1959 film)
199.212.65.237,2014-03-31T19:52:40Z,List of Ebola outbreaks
199.212.65.237,2014-04-01T05:18:59Z,Portal:Current events/2014 March 31
199.212.65.238,2014-02-21T03:08:42Z,Rosemin Manji
199.212.65.238,2014-02-21T16:04:00Z,Rosemin Manji
199.212.65.242,2014-04-16T09:18:23Z,Template:2014 Stanley Cup playoffs
199.212.65.242,2014-04-16T09:23:28Z,Template:2014 Stanley Cup playoffs
199.212.65.242,2014-06-12T04:21:02Z,New English School (Kuwait)
199.212.65.242,2014-06-12T04:22:02Z,New English School (Kuwait)
199.212.65.242,2014-06-12T04:24:37Z,New English School (Kuwait)
199.212.65.242,2014-06-12T04:27:37Z,New English School (Kuwait)
199.212.66.99,2014-01-20T15:59:03Z,Arthur Currie
199.212.66.117,2014-02-26T15:43:42Z,Vaughan
199.212.66.117,2014-02-26T15:45:18Z,Gila Martow
199.212.66.117,2014-02-26T15:45:41Z,Gila Martow
199.212.66.117,2014-02-26T15:46:07Z,Gila Martow
199.212.66.117,2014-02-26T15:47:48Z,Gila Martow
199.212.66.117,2014-02-26T17:20:06Z,Official Opposition Shadow Cabinet of the 40th Legislative Assembly of Ontario
199.212.66.118,2014-03-07T00:49:15Z,List of Macedonians (ethnic group)
199.212.66.118,2014-03-07T00:51:41Z,List of Macedonians (ethnic group)
199.212.66.125,2014-01-18T07:40:46Z,Scalability
199.212.66.146,2014-06-20T18:03:55Z,History of the camera
199.212.66.146,2014-06-20T18:04:29Z,History of the camera
199.212.66.146,2014-06-20T18:04:53Z,History of the camera
199.212.66.154,2014-03-12T00:38:02Z,Non incautus futuri
199.212.66.158,2014-04-10T23:52:46Z,Pallandri
199.212.66.176,2014-03-05T00:24:36Z,Zorn
199.212.66.176,2014-03-05T00:25:41Z,Zorn
199.212.66.176,2014-03-05T00:26:49Z,Zorn
199.212.66.176,2014-03-05T00:30:45Z,Zorn
199.212.66.189,2014-01-19T22:56:23Z,List of the political families of Pakistan
199.212.66.189,2014-01-19T22:57:34Z,List of the political families of Pakistan
199.212.66.189,2014-01-19T23:01:40Z,Mazari tribe
199.212.66.189,2014-01-19T23:03:28Z,Mazari tribe
199.212.66.189,2014-01-19T23:18:55Z,Mazari tribe
199.212.67.19,2014-02-26T23:32:20Z,"Pakistani presidential election, 1965"
199.212.67.31,2014-01-22T17:48:29Z,Polystyrene
199.212.67.38,2014-04-10T18:39:30Z,"Sault Ste. Marie, Ontario"
199.212.67.67,2014-03-27T16:01:34Z,Space law
199.212.67.67,2014-03-27T16:11:20Z,Space law
199.212.67.67,2014-03-27T16:12:54Z,Space law
199.212.67.68,2014-02-04T20:14:25Z,Super Bowl XLI
199.212.67.100,2014-02-27T16:55:19Z,Walking on Broken Glass
199.212.67.106,2014-05-30T00:24:46Z,Clue (film)
199.212.67.149,2014-03-20T05:24:47Z,HIV/AIDS in South Africa
199.212.67.153,2014-03-03T21:38:03Z,Earl of March Secondary School
199.212.67.153,2014-03-03T21:39:25Z,Earl of March Secondary School
199.212.67.153,2014-03-03T21:49:29Z,Earl of March Secondary School
199.212.67.155,2014-04-04T02:39:56Z,Copyright Act of Canada
199.212.67.167,2014-01-27T20:32:12Z,List of the political families of Pakistan
199.212.67.167,2014-01-27T20:35:58Z,List of the political families of Pakistan
199.212.67.198,2014-02-11T21:20:13Z,Ontario
199.212.67.205,2014-06-12T18:02:44Z,Supercontinent cycle
199.212.67.227,2014-03-29T20:37:00Z,Lucky Cement
199.212.67.231,2014-01-10T00:07:45Z,Hayward Hall of Justice
198.96.34.59,2014-01-25T15:53:16Z,2013–14 Skeleton World Cup
198.96.34.104,2014-02-18T16:04:38Z,Untouchable number
198.96.34.104,2014-03-31T02:25:03Z,"Ontario prohibition referendum, 1902"
198.96.34.104,2014-03-31T02:35:23Z,"Dresden, Ontario"
198.96.34.104,2014-04-02T03:44:04Z,Long Now Foundation
198.96.34.104,2014-05-01T21:34:25Z,"Hang in there, Baby"
198.96.34.104,2014-05-04T01:32:04Z,Ulam's game
198.96.34.109,2014-01-13T02:15:19Z,2013–14 Skeleton World Cup
198.96.35.90,2014-01-23T09:25:08Z,49th Newfoundland and Labrador general election
198.96.35.90,2014-01-30T13:15:25Z,Senate of Canada
198.96.35.90,2014-02-17T14:32:08Z,Falklands War
198.96.35.90,2014-03-14T11:03:43Z,"Quebec general election, 2014"
198.96.35.90,2014-03-14T11:06:45Z,"Quebec general election, 2014"
198.96.35.90,2014-03-21T16:45:44Z,Talk:Sevastopol
198.96.35.90,2014-06-12T07:11:43Z,Talk:Islamic State of Iraq and the Levant
198.96.35.103,2014-03-26T07:26:29Z,Saira Banu
198.96.35.246,2014-03-04T01:18:58Z,Wikipedia:Articles for deletion/Theoria and Praxis
198.96.36.95,2014-03-04T05:20:42Z,G8
198.96.36.111,2014-05-03T02:09:36Z,Cavity magnetron
198.96.36.111,2014-06-16T04:21:28Z,Sungha Jung
198.96.36.131,2014-07-02T03:23:37Z,Web of the City
198.96.36.157,2014-01-14T04:25:10Z,Jeffrey Jones
198.96.36.157,2014-03-10T11:52:00Z,West African mythology
198.96.36.157,2014-04-28T23:38:28Z,I Believe in a Thing Called Love
198.96.36.157,2014-05-01T11:46:26Z,Playing House (TV series)
198.96.36.157,2014-05-09T21:03:46Z,Talk:Gerbilling
198.96.36.164,2014-02-20T16:46:59Z,Dan Gilbert (businessman)
198.96.36.170,2014-05-16T14:21:08Z,Nonverbal learning disorder
198.96.36.170,2014-05-16T14:29:09Z,Nonverbal learning disorder
198.96.36.170,2014-05-16T14:30:03Z,Nonverbal learning disorder
198.96.36.170,2014-05-16T14:31:18Z,Nonverbal learning disorder
198.96.38.118,2014-05-16T07:14:19Z,Talk:Skin whitening
198.96.38.118,2014-05-19T02:43:15Z,Talk:Skin whitening
198.96.38.137,2014-04-02T05:35:27Z,Talk:Chachapoya culture
